Ano da propositura;Ind. Motivo;Ind. Endereço;Ind. Bairro;Nome;Partido
2008;LIMPEZA PÚBLICA - CAPINAGEM EM GERAL;RUA ESCARAVELHO DE OURO X RUA SANTO INÁCIO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;REPAVIMENTAÇÃO ASFÁLTICA;RUA ESCARAVELHO DE OURO X RUA SANTO INÁCIO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE PRAÇA, JARDIM OU LOGRADOUROPÚBLICO;RUA ESCARAVELHO DE OURO X RUA SANTO INÁCIO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA BURACO;AVENIDA JOSÉ ESTIMA FILHO;PARQUE SANTA BÁRBARA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RETIRADA E REMOÇÃO DE LIXO E/OU ENTULHO;AVENIDA JOSÉ ESTIMA FILHO;PARQUE SANTA BÁRBARA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO;AVENIDA JOSÉ ESTIMA FILHO;PARQUE SANTA BÁRBARA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO;RUA PLANALTO X RUA BARÃO DE PAIVA MANSO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO;ESTRADA M'BOI MIRIM X TRAVESSA MAGONDI;CHÁCARA SONHO AZUL;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA BURACO;RUA SANTO INÁCIO X RUA ESPUMA DO MAR;JARDIM ÂNGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO DE VALETA DE ESCOAMENTO DE ÁGUASPLUVIAIS - SARJETÃO;RUA SANTO INÁCIO X RUA ESPUMA DO MAR;JARDIM ÂNGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA BURACO;RUA ANTO INÁCIO;JARDIM ÂNGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO;RUA SANTO INÁCIO;JARDIM ÂNGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO;RUA VISCONDE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;READEQUAÇÃO DE SINALIZAÇÃO;RUA VISCONDE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA BURACO;RUA VISCONDE DE RIBAMAR;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;POERAÇÃO TAPA BURACO;RUA VISCONDE RIBAMAR X RUA PINDORAMA;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA BURACO;RUA ENLEVO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO E/OU BUEIRO;RUA ENLEVO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO E/OU BUEIRO;RUA ENLEVO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO E/OU BUEIRO;RUA ENLEVO;JARDIM CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA E BOCA DE LOBO;RUA BARÃO DE PAIVA MANSO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO OU BUEIRO;RUA BARÃO DE PAIVA MANSO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA DE LOBO;RUA BARÃO DE PAIVA MANSO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;REAEQUAÇÃO DE SINALIZAÇÃO HORIZONTAL.;ESTRADA DO M BOI MIRIM;JD ANGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECAPEAMENTO ASFALTICO EM VIAS PÚBLICAS;ESTRADA DO EMBU GUAÇU;JD ANGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;SERVIÇOS DE ILUMINAÇÃO PÚBLICA;RUA PLANALTO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO DE VALETA DE ESCOAMENTO DE ÁGUASPLUVIAIS.;RUA PLANALTO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECOLOCAÇÃO OU MANUTENÇÃO DE PLACA DE IDENTIFICAÇÃO DE LOGRADOURO PÚBLICO;RUA PLANALTO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECOLOCAÇÃO OU MANUTENÇÃO DE PLACA DE IDENTIFICAÇÃDE LOGRADOURO.;RUA BARÃO DE PAIVA MANSO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;IMPLANTAÇÃO OU READEQUAÇÃO DE POSTO DE ILUMINAÇÃO.;TRAVESSA BELCORE;JD ANGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECOLOCAÇÃO OU MANUTENÇÃO DE PLACA DE IDENTIFICAÇÃO DE LOGRADOURO.;TRAVESSA BELCORE;JD ANGELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;INTENSIFICAÇÃO DE POLICIAMENTO MILITAR;AV JOSÉ ESTIMA FILHO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECOLOCAÇÃO OU MANUTENÇÃO DE PLACA DE IDENTIFICAÇÃDE LOGRADOURO PÚBLICO;RUA ESCARAVELHO DE OURO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;RUA PLANALTO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;RUA BARÃO DE PAIVA MANSO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;IMPLANTAÇÃO OU READEQUAÇÃO DE SINALIZAÇÃO HORIZONTAL;TRAVESSA MAGONDI;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;CAPINAGEM EM CALÇADAS OU LOGRADOURO;TRAVESSA MAGONDI;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;IMPLANTAÇÃO OU READEQUAÇÃO DE REDE COLETORA DEESGOTOS.;RUA ESCARAVELHO;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUENÇÃO DE VALETA DE ESCOAMENTO DE ÁGUASPLUVIAIS;RUA VISCONDE DE RIBAMAR;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO DE VALETA DE ESCOAMENTO DE ÁGUASPLUVIAIS;RUA VISCONDE DE RIBAMAR;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;RUA FORTUNA;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESOBSTRUÇÃO E LIMPEZA DE BOCA DE LOBO OU BUEIRO;RUA DA FORTUNA;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;DESRATIZAÇÃO DE BOCA DE LOBO OU BUEIRO;RUA DA FORTUNA;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;MANUTENÇÃO E REFORMA DE BOCA D ELOBO;RUA DA FORTUNA;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;OPERAÇÃO TAPA-BURACO;TRAVESSA MAGONDI;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;RECOLOCAÇÃO OU MANUTENÇÃO DE PLACA DE IDENTIFICAÇÃDE LOGRADOURO PÚBLICO;TRAVESSA MAGONDI;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
2008;SERVIÇOS DE ILUMINAÇÃO PÚBLICA;RUA VISCONDE DE RIBAMAR;JD CAPELA;ATILA RUSSOMANO;PARTIDO PROGRESSISTA
